"guildID","channelID","msgID","hostID","endtime","winners","nachrichten","level","rollenID","status","preis"
"1014116444897804408","1014121564242976828","1015168052880474142","1008975489962082374","1662106224",1,,10,"1014116444897804411",Inaktiv,MOD
"1014116444897804408","1014121564242976828","1015170017479884823","1008975489962082374","1662105853",2,,,,Inaktiv,MOD
"1014445347713593354","1014465484298661888","1015235401990017024","525974888750645249","1662126781",1,,1,,Inaktiv,"50 LokPoints"
"1014445347713593354","1014465484298661888","1015606123954458686","525974888750645249","1662213368",1,,,,Inaktiv,"50 LokPoints bzw. den Preis vom Dritten Platz von dem Event."
"918191764312051793","987675343764725791","1015770472950018048","829440139717640233","1662508152",1,1,,,Inaktiv,"1x Exklusives ""Tower of Fantasy"" Avatar Paket"
"918191764312051793","987675343764725791","1015770872126128168","829440139717640233","1662508247",1,1,,"918194116431577089",Inaktiv,"1x Exklusives ""Tower of Fantasy""-Avatarpaket"
"1014445347713593354","1014465484298661888","1016037414491406487","525974888750645249","1662744596",2,15,,,Inaktiv,"500 LokPoints"
"948595942448320653","1014574224221937765","1016359815024488629","948565546742452284","1662821462",1,20,,,Inaktiv,Xbox Game Pass Ultimate (2 Monate)
"974771788481429504","981320668526284810","1016393653293420544","897189872626983002","1662397590",1,,,,Inaktiv,test
"1011346962882248825","1016357550997913701","1016412792359751730","921484539489026140","1662574893",1,,,,Inaktiv,"1 Monat Discord Nitro"
"1011346962882248825","1011351327030382663","1016413894325051542","921484539489026140","1662575156",1,,,"1015632243282149408",Inaktiv,"1 Monat Discord Nitro"
"1001476627718484080","1001494484011462788","1016957927296356372","941998396934340619","1662532123",1,,,"1010840323926261770",Inaktiv,Nix
"993887751785168906","1013056861433503835","1017057206694326303","775433367595909129","1662814934",1,10,,,Inaktiv,<@&994504497546133575>  Rolle
"964485182637871104","964485719240343583","1017133782396043424","963303356443529246","1662574051",1,,,,Inaktiv,"10000000000000000000000000000000000000000$"
"771473974328426516","956947779505246309","1017139646884483182","688096482339192902","1662577189",1,100,,"990847272344489995",Inaktiv,"5.000$ & Benefactor Schwarzer V12 Full tuned"
"771473974328426516","956947779505246309","1017139964523327588","688096482339192902","1662577265",1,,,"990847272344489995",Inaktiv,"10.000$ & benefactor schwarzer v12 full tuned"
"937793977892077668","966611494219423774","1017445755193143327","915266458588688435","1662907571",1,20,2,,Inaktiv,VIP
"1014445347713593354","1014465484298661888","1017890244906995813","525974888750645249","1662862345",1,,1,,Inaktiv,<@&1017889441576128612> Rolle
"918191764312051793","987675343764725791","1018112548865851433","785059784604778496","1664016947",1,,,,Inaktiv,"1x 100 Mitglieder Server"
"1002707762544914535","1002707763681575020","1018126426060378172","772150720689733663","1662893455",2,20,,,Inaktiv,vip rolle
"999561154655440928","999747302904320051","1018156350641025096","702107838134091796","1662819590",1,0,0,"999561154655440928",Inaktiv,"1€"
"999561154655440928","999570135239118868","1018156802405302384","702107838134091796","1662996098",1,0,0,"999561154655440928",Inaktiv,"150k"
"999561154655440928","999570135239118868","1018157964403691530","702107838134091796","1662990975",1,0,,"1013126523508760577",Inaktiv,"150k"
"999561154655440928","999570135239118868","1018158489081741372","702107838134091796","1663000100",1,5,,"1013126523508760577",Inaktiv,"150k"
"999561154655440928","999570135239118868","1018158816061304923","702107838134091796","1662999278",1,0,0,"1013126523508760577",Inaktiv,"150k"
"999561154655440928","999747302904320051","1018159261982928986","702107838134091796","1663005744",1,0,2,"1013126523508760577",Inaktiv,"150k"
"1003987205196361728","1003987205934546971","1018196804979937290","593450283510792213","1662913835",2,,,,Inaktiv,"10 Uraniumkisten"
"1010638746321957105","1010982847907123220","1018247485963108442","1001200401292476457","1662936778",1,1,1,"1017870526628245587",Aktiv,"1€"
"1014445347713593354","1014465484298661888","1018434765180911636","525974888750645249","1662891369",1,,1,,Inaktiv,<@&1017099877605453964>  für ein Monat
"918191764312051793","987675343764725791","1018525780449443850","899254051097702410","1663424269",1,25,,,Inaktiv,"1x Xbox Game Pass 2 Months"
"918191764312051793","987675343764725791","1018526553455480853","899254051097702410","1663510853",1,,,,Aktiv,Tower of Fancy Avatar Paket
"1014445347713593354","1014465484298661888","1018536160177422376","525974888750645249","1662994744",1,5,5,,Inaktiv,"500 LokPoints"
"972605101422293123","1017833445260542129","1018541573006430279","930106233971679252","1664119234",1,,,"996579738682396673",Inaktiv,"1x Nitro Boost"
"937793977892077668","966611494219423774","1018568833251946567","775433367595909129","1663002533",1,,,,Inaktiv,VIP
"972605101422293123","1017833445260542129","1018797322399916084","930106233971679252","1664180209",1,25,,,Inaktiv,"1x Nitro Boost"
"1017523461482106943","1017719701796823100","1018940429506461736","756138116728881207","1663047929",2,,,,Inaktiv,"1x VeryPacket"
"1014445347713593354","1014465484298661888","1019259552245489694","525974888750645249","1663088014",1,,,"1014471829781487677",Inaktiv,"500 LokPoints"
"1018445925972201523","1019279748490342420","1019280607311822949","586231322993754119","1663172234",2,20,,"1019195757410127982",Inaktiv,Premium
"1018445925972201523","1019279748490342420","1019281123970396242","586231322993754119","1663172357",2,15,,,Inaktiv,Premium Ingame
"1014445347713593354","1014465484298661888","1019481309338402846","525974888750645249","1663220085",1,,,,Inaktiv,Glückspilz Rolle
"1003987205196361728","1003987205934546972","1019532011637063721","944244654524751913","1663149373",1,,,,Inaktiv,"100000"
"1003987205196361728","1003987205934546971","1019532378160504862","944244654524751913","1663185460",1,,0,,Inaktiv,"100000"
"1003987205196361728","1003987205934546971","1019532877014241340","944244654524751913","1663185579",1,,0,,Inaktiv,iron rang !
"1018445925972201523","1019279748490342420","1019644659577933925","586231322993754119","1663813430",5,20,3,"1018447554872086559",Aktiv,Premium
"1014445347713593354","1014465484298661888","1019994048179740682","525974888750645249","1663342331",1,5,10,"1014471945884016690",Inaktiv,"1000 LokPoints"
"1014445347713593354","1014465484298661888","1019994221194784768","525974888750645249","1663342372",1,10,,"1014471945884016690",Inaktiv,"1000 LokPoints"
"1010463052912660491","1010474929227046962","1020392949193920612","786578452190855168","1663351096",10,,1,,Inaktiv,nichts
"1019243091267424287","1020430032407113788","1020613977362940025","947529541834903582","1663410034",1,,,"1019646528110985267",Inaktiv,vip rolle
"1019243091267424287","1020430032407113788","1020764752789651627","947529541834903582","1663439741",1,10,1,"1019825313477296140",Inaktiv,<@&1019646528110985267>
"1015142561087750174","1015274599195361364","1020958039962026034","941750986551205930","1663485825",1,,,,Inaktiv,price
"899746479625871441","994920595127017512","1020968344230297701","782276733616783390","1663574621",1,15,,,Inaktiv,Eigene Rolle
"899746479625871441","994920595127017512","1020968713295495178","933697808152801311","1663617909",1,,,,Inaktiv,Xbox PC Game Pass
"1014445347713593354","1014465484298661888","1021014163193069609","525974888750645249","1663506345",1,,,"1014471945884016690",Inaktiv,V.I.P für 1 Monat
"984928443173068880","988067378476765324","1021033499106476125","853742600061714482","1663517256",1,,,"988070978770845696",Inaktiv,Eine Rolle deiner Wahl
